nth vaddr       bind type lib                                   name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x18002e000 NONE FUNC KERNEL32.dll                          IsDebuggerPresent
2   0x18002e008 NONE FUNC KERNEL32.dll                          InitializeSListHead
3   0x18002e010 NONE FUNC KERNEL32.dll                          DisableThreadLibraryCalls
4   0x18002e018 NONE FUNC KERNEL32.dll                          GetCurrentProcessId
5   0x18002e020 NONE FUNC KERNEL32.dll                          QueryPerformanceCounter
6   0x18002e028 NONE FUNC KERNEL32.dll                          IsProcessorFeaturePresent
7   0x18002e030 NONE FUNC KERNEL32.dll                          TerminateProcess
8   0x18002e038 NONE FUNC KERNEL32.dll                          GetCurrentProcess
9   0x18002e040 NONE FUNC KERNEL32.dll                          SetUnhandledExceptionFilter
10  0x18002e048 NONE FUNC KERNEL32.dll                          UnhandledExceptionFilter
11  0x18002e050 NONE FUNC KERNEL32.dll                          RtlLookupFunctionEntry
12  0x18002e058 NONE FUNC KERNEL32.dll                          RtlCaptureContext
13  0x18002e060 NONE FUNC KERNEL32.dll                          GetTickCount
14  0x18002e068 NONE FUNC KERNEL32.dll                          GetSystemTimeAsFileTime
15  0x18002e070 NONE FUNC KERNEL32.dll                          GetSystemTime
16  0x18002e078 NONE FUNC KERNEL32.dll                          GetCurrentThreadId
17  0x18002e080 NONE FUNC KERNEL32.dll                          Sleep
18  0x18002e088 NONE FUNC KERNEL32.dll                          CreateMutexA
19  0x18002e090 NONE FUNC KERNEL32.dll                          WaitForSingleObject
20  0x18002e098 NONE FUNC KERNEL32.dll                          ReleaseMutex
21  0x18002e0a0 NONE FUNC KERNEL32.dll                          CloseHandle
22  0x18002e0a8 NONE FUNC KERNEL32.dll                          RtlVirtualUnwind
1   0x18002e0b8 NONE FUNC VCRUNTIME140.dll                      _CxxThrowException
2   0x18002e0c0 NONE FUNC VCRUNTIME140.dll                      __std_exception_destroy
3   0x18002e0c8 NONE FUNC VCRUNTIME140.dll                      __std_exception_copy
4   0x18002e0d0 NONE FUNC VCRUNTIME140.dll                      __C_specific_handler
5   0x18002e0d8 NONE FUNC VCRUNTIME140.dll                      __current_exception_context
6   0x18002e0e0 NONE FUNC VCRUNTIME140.dll                      __current_exception
7   0x18002e0e8 NONE FUNC VCRUNTIME140.dll                      memcmp
8   0x18002e0f0 NONE FUNC VCRUNTIME140.dll                      _purecall
9   0x18002e0f8 NONE FUNC VCRUNTIME140.dll                      memcpy
10  0x18002e100 NONE FUNC VCRUNTIME140.dll                      memset
11  0x18002e108 NONE FUNC VCRUNTIME140.dll                      __std_type_info_destroy_list
1   0x18002e118 NONE FUNC VCRUNTIME140_1.dll                    __CxxFrameHandler4
1   0x18002e138 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll        malloc
2   0x18002e140 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll        _callnewh
3   0x18002e148 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll        free
1   0x18002e1b0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       __stdio_common_vsprintf_s
2   0x18002e1b8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       __stdio_common_vsprintf
3   0x18002e1c0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       __stdio_common_vfprintf
4   0x18002e1c8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       putchar
5   0x18002e1d0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       __acrt_iob_func
6   0x18002e1d8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       fread
7   0x18002e1e0 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       fopen
8   0x18002e1e8 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll       fclose
1   0x18002e1f8 NONE FUNC api-ms-win-crt-string-l1-1-0.dll      isprint
1   0x18002e128 NONE FUNC api-ms-win-crt-environment-l1-1-0.dll getenv
1   0x18002e158 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _execute_onexit_table
2   0x18002e160 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _initialize_narrow_environment
3   0x18002e168 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _configure_narrow_argv
4   0x18002e170 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _seh_filter_dll
5   0x18002e178 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _cexit
6   0x18002e180 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _initterm_e
7   0x18002e188 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _beginthreadex
8   0x18002e190 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _initialize_onexit_table
9   0x18002e198 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     terminate
10  0x18002e1a0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll     _initterm
