=== libciper.so exported/defined symbols (crypto primitives) ===
54  0x0000b00c 0x0000c00c GLOBAL OBJ    4        createRequestStatus
55  0x00008590 0x00008590 GLOBAL FUNC   92       elapsed_timer
56  0x000060f4 0x000060f4 GLOBAL FUNC   76       buildPatternReplyRecord
57  0x00006214 0x00006214 GLOBAL FUNC   104      buildMessageForPatternDebugRequest
58  0x00003884 0x00003884 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniEndBuildFileBlockRecord
59  0x000067b8 0x000067b8 GLOBAL FUNC   220      serial_connect
60  0x000038d4 0x000038d4 GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniBuildAddTerminalPropertyToRecord
61  0x00006498 0x00006498 GLOBAL FUNC   84       patternNextCh
62  0x00005d90 0x00005d90 GLOBAL FUNC   16       getMaxPublicVariableRecordEntries
63  0x00007b0c 0x00007b0c GLOBAL FUNC   424      WriteToFile
64  0x000051dc 0x000051dc GLOBAL FUNC   208      buildFileBlockCRCRecord
65  0x00005060 0x00005060 GLOBAL FUNC   380      buildFileBlockRecord
66  ---------- 0x0000cc10 GLOBAL OBJ    500      fileblockrecordbuffer
67  ---------- 0x0000d7e8 GLOBAL OBJ    4        g_DbgTopic
68  ---------- 0x0000d7ec GLOBAL OBJ    4        g_DbgLevel
69  0x0000a91c 0x0000a91c GLOBAL NOTYPE 0        __exidx_start
70  0x00003954 0x00003954 GLOBAL FUNC   38       Java_com_honeywell_comm_JNIRequest_jniNextTpidValue
71  0x000039dc 0x000039dc GLOBAL FUNC   36       Java_com_honeywell_comm_JNIRequest_jniEndBuildLinearRecord
72  0x0000b010 0x0000c010 GLOBAL OBJ    4        createResponseStatus
73  0x00005758 0x00005758 GLOBAL FUNC   176      beginBuildTerminalPropertyRecord
74  0x00003750 0x00003750 GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetReceivedDeviceFlags
75  0x00006d24 0x00006d24 GLOBAL FUNC   128      write_serial_record
76  0x00006650 0x00006650 GLOBAL FUNC   360      tty_raw
77  ---------- 0x0000c05c GLOBAL OBJ    4        sendCount
78  0x00005b50 0x00005b50 GLOBAL FUNC   132      buildAddLinearCountsToRecord
79  0x00008b14 0x00008b14 GLOBAL FUNC   84       libciperVersionString
80  0x00005e98 0x00005e98 GLOBAL FUNC   140      endBuildPublicVariableRecord
81  0x000065a4 0x000065a4 GLOBAL FUNC   52       unlockMutexSerial
82  0x000052bc 0x000052bc GLOBAL FUNC   92       handleFileBlockMessage
83  0x000045b0 0x000045b0 GLOBAL FUNC   300      Java_com_honeywell_comm_JNIRequest_jniRunShellCommand
84  0x0000397c 0x0000397c GLOBAL FUNC   50       Java_com_honeywell_comm_JNIRequest_jniBeginBuildLinearRecord
85  0x00008620 0x00008620 GLOBAL FUNC   84       debug_elapsed_timer
86  0x00003f90 0x00003f90 GLOBAL FUNC   444      Java_com_honeywell_comm_JNIRequest_jniReadSylkFileData
87  0x000031fc 0x000031fc GLOBAL FUNC   164      toTerminalProperty
88  0x000084c8 0x000084c8 GLOBAL FUNC   172      current_timestamp
89  0x00006894 0x00006894 GLOBAL FUNC   108      validate_serial_connection
90  0x00004808 0x00004808 GLOBAL FUNC   128      debugPrintf
91  0x0000441c 0x0000441c GLOBAL FUNC   404      Java_com_honeywell_comm_JNIRequest_jniWriteToFile
92  0x00003cfc 0x00003cfc GLOBAL FUNC   288      Java_com_honeywell_comm_JNIRequest_jniFileStatus
93  0x000039b0 0x000039b0 GLOBAL FUNC   42       Java_com_honeywell_comm_JNIRequest_jniBuildAddLinearCountsToRecord
94  0x00003a5c 0x00003a5c GLOBAL FUNC   34       Java_com_honeywell_comm_JNIRequest_jniEndBuildPublicVariableRecord
95  0x00003b6c 0x00003b6c GLOBAL FUNC   200      Java_com_honeywell_comm_JNIRequest_jniFileOpen
96  0x000088ec 0x000088ec GLOBAL FUNC   362      receiveSerialMessage
97  0x0000391c 0x0000391c GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniHasNextTpid
98  0x00003574 0x00003574 GLOBAL FUNC   204      jvmr_init
99  0x0000427c 0x0000427c GLOBAL FUNC   416      Java_com_honeywell_comm_JNIRequest_jniReadFromFile
100 0x00003850 0x00003850 GLOBAL FUNC   50       Java_com_honeywell_comm_JNIRequest_jniBeginBuildFileBlockCRCRecord
101 0x00005fb8 0x00005fb8 GLOBAL FUNC   84       receiveHasNextPublicVariable
102 0x0000389c 0x0000389c GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetMaxTerminalPropertyRecordEntries
103 0x0000799c 0x0000799c GLOBAL FUNC   192      CreateFile
104 0x00005af4 0x00005af4 GLOBAL FUNC   92       beginBuildLinearRecord
105 0x000052ac 0x000052ac GLOBAL FUNC   14       endBuildFileBlockRecord
