nth vaddr       bind type lib                               name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x140039000 NONE FUNC KERNEL32.dll                      CloseHandle
2   0x140039008 NONE FUNC KERNEL32.dll                      ReleaseMutex
3   0x140039010 NONE FUNC KERNEL32.dll                      WaitForSingleObject
4   0x140039018 NONE FUNC KERNEL32.dll                      CreateMutexA
5   0x140039020 NONE FUNC KERNEL32.dll                      GetCurrentThreadId
6   0x140039028 NONE FUNC KERNEL32.dll                      GetSystemTime
7   0x140039030 NONE FUNC KERNEL32.dll                      GetSystemTimeAsFileTime
8   0x140039038 NONE FUNC KERNEL32.dll                      FindClose
9   0x140039040 NONE FUNC KERNEL32.dll                      FindFirstFileA
10  0x140039048 NONE FUNC KERNEL32.dll                      FindNextFileA
11  0x140039050 NONE FUNC KERNEL32.dll                      CreateFileA
12  0x140039058 NONE FUNC KERNEL32.dll                      GetFileSizeEx
13  0x140039060 NONE FUNC KERNEL32.dll                      MapViewOfFile
14  0x140039068 NONE FUNC KERNEL32.dll                      UnmapViewOfFile
15  0x140039070 NONE FUNC KERNEL32.dll                      CreateFileMappingA
16  0x140039078 NONE FUNC KERNEL32.dll                      GetFileAttributesA
17  0x140039080 NONE FUNC KERNEL32.dll                      RtlCaptureContext
18  0x140039088 NONE FUNC KERNEL32.dll                      RtlLookupFunctionEntry
19  0x140039090 NONE FUNC KERNEL32.dll                      RtlVirtualUnwind
20  0x140039098 NONE FUNC KERNEL32.dll                      UnhandledExceptionFilter
21  0x1400390a0 NONE FUNC KERNEL32.dll                      SetUnhandledExceptionFilter
22  0x1400390a8 NONE FUNC KERNEL32.dll                      GetCurrentProcess
23  0x1400390b0 NONE FUNC KERNEL32.dll                      TerminateProcess
24  0x1400390b8 NONE FUNC KERNEL32.dll                      IsProcessorFeaturePresent
25  0x1400390c0 NONE FUNC KERNEL32.dll                      QueryPerformanceCounter
26  0x1400390c8 NONE FUNC KERNEL32.dll                      GetCurrentProcessId
27  0x1400390d0 NONE FUNC KERNEL32.dll                      InitializeSListHead
28  0x1400390d8 NONE FUNC KERNEL32.dll                      IsDebuggerPresent
29  0x1400390e0 NONE FUNC KERNEL32.dll                      GetModuleHandleW
1   0x1400390f0 NONE FUNC VCRUNTIME140.dll                  memset
2   0x1400390f8 NONE FUNC VCRUNTIME140.dll                  memcpy
3   0x140039100 NONE FUNC VCRUNTIME140.dll                  memcmp
4   0x140039108 NONE FUNC VCRUNTIME140.dll                  strchr
5   0x140039110 NONE FUNC VCRUNTIME140.dll                  __C_specific_handler
6   0x140039118 NONE FUNC VCRUNTIME140.dll                  __current_exception
7   0x140039120 NONE FUNC VCRUNTIME140.dll                  __current_exception_context
1   0x140039130 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    malloc
2   0x140039138 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _set_new_mode
3   0x140039140 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    realloc
4   0x140039148 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    free
1   0x140039278 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strncpy
2   0x140039280 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  isalnum
3   0x140039288 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strcmp
4   0x140039290 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strncmp
5   0x140039298 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  isspace
1   0x140039178 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _cexit
2   0x140039180 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _c_exit
3   0x140039188 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll __p___argv
4   0x140039190 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll exit
5   0x140039198 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll terminate
6   0x1400391a0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _crt_atexit
7   0x1400391a8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _wassert
8   0x1400391b0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll __p___argc
9   0x1400391b8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _exit
10  0x1400391c0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm_e
11  0x1400391c8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm
12  0x1400391d0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _get_initial_narrow_environment
13  0x1400391d8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _configure_narrow_argv
14  0x1400391e0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_narrow_environment
15  0x1400391e8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _set_app_type
16  0x1400391f0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_onexit_function
17  0x1400391f8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_onexit_table
18  0x140039200 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _seh_filter_exe
19  0x140039208 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_thread_local_exe_atexit_callback
1   0x140039218 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   fopen
2   0x140039220 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   fseek
3   0x140039228 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   fclose
4   0x140039230 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   _set_fmode
5   0x140039238 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsprintf
6   0x140039240 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   fread
7   0x140039248 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsprintf_s
8   0x140039250 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vfprintf
9   0x140039258 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __acrt_iob_func
10  0x140039260 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __p__commode
11  0x140039268 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   ftell
1   0x1400392a8 NONE FUNC api-ms-win-crt-time-l1-1-0.dll    strftime
2   0x1400392b0 NONE FUNC api-ms-win-crt-time-l1-1-0.dll    _mktime64
3   0x1400392b8 NONE FUNC api-ms-win-crt-time-l1-1-0.dll    _time64
4   0x1400392c0 NONE FUNC api-ms-win-crt-time-l1-1-0.dll    _localtime64
1   0x140039168 NONE FUNC api-ms-win-crt-math-l1-1-0.dll    __setusermatherr
