nth vaddr      bind type lib                               name
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x0040306c NONE FUNC MSVCP140.dll                      ?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ
2   0x00403070 NONE FUNC MSVCP140.dll                      ?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A
3   0x00403074 NONE FUNC MSVCP140.dll                      ?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ
4   0x00403078 NONE FUNC MSVCP140.dll                      ?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z
5   0x0040307c NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@K@Z
6   0x00403080 NONE FUNC MSVCP140.dll                      ??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z
7   0x00403084 NONE FUNC MSVCP140.dll                      ?uncaught_exception@std@@YA_NXZ
8   0x00403088 NONE FUNC MSVCP140.dll                      ?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z
9   0x0040308c NONE FUNC MSVCP140.dll                      ?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z
10  0x00403090 NONE FUNC MSVCP140.dll                      ?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z
11  0x00403094 NONE FUNC MSVCP140.dll                      ?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z
1   0x00403000 NONE FUNC KERNEL32.dll                      GetCurrentThread
2   0x00403004 NONE FUNC KERNEL32.dll                      InitializeSListHead
3   0x00403008 NONE FUNC KERNEL32.dll                      GetSystemTimeAsFileTime
4   0x0040300c NONE FUNC KERNEL32.dll                      GetCurrentThreadId
5   0x00403010 NONE FUNC KERNEL32.dll                      GetCurrentProcessId
6   0x00403014 NONE FUNC KERNEL32.dll                      QueryPerformanceCounter
7   0x00403018 NONE FUNC KERNEL32.dll                      GetModuleHandleW
8   0x0040301c NONE FUNC KERNEL32.dll                      IsDebuggerPresent
9   0x00403020 NONE FUNC KERNEL32.dll                      IsProcessorFeaturePresent
10  0x00403024 NONE FUNC KERNEL32.dll                      TerminateProcess
11  0x00403028 NONE FUNC KERNEL32.dll                      GetCurrentProcess
12  0x0040302c NONE FUNC KERNEL32.dll                      FlushFileBuffers
13  0x00403030 NONE FUNC KERNEL32.dll                      ReadFile
14  0x00403034 NONE FUNC KERNEL32.dll                      WriteFile
15  0x00403038 NONE FUNC KERNEL32.dll                      CloseHandle
16  0x0040303c NONE FUNC KERNEL32.dll                      GetLastError
17  0x00403040 NONE FUNC KERNEL32.dll                      ConnectNamedPipe
18  0x00403044 NONE FUNC KERNEL32.dll                      DisconnectNamedPipe
19  0x00403048 NONE FUNC KERNEL32.dll                      CreateThread
20  0x0040304c NONE FUNC KERNEL32.dll                      UnhandledExceptionFilter
21  0x00403050 NONE FUNC KERNEL32.dll                      SetThreadPriority
22  0x00403054 NONE FUNC KERNEL32.dll                      CreateNamedPipeA
23  0x00403058 NONE FUNC KERNEL32.dll                      FreeLibrary
24  0x0040305c NONE FUNC KERNEL32.dll                      GetProcAddress
25  0x00403060 NONE FUNC KERNEL32.dll                      LoadLibraryA
26  0x00403064 NONE FUNC KERNEL32.dll                      SetUnhandledExceptionFilter
1   0x0040309c NONE FUNC VCRUNTIME140.dll                  __std_terminate
2   0x004030a0 NONE FUNC VCRUNTIME140.dll                  __CxxFrameHandler3
3   0x004030a4 NONE FUNC VCRUNTIME140.dll                  memset
4   0x004030a8 NONE FUNC VCRUNTIME140.dll                  __std_exception_copy
5   0x004030ac NONE FUNC VCRUNTIME140.dll                  __std_exception_destroy
6   0x004030b0 NONE FUNC VCRUNTIME140.dll                  _CxxThrowException
7   0x004030b4 NONE FUNC VCRUNTIME140.dll                  __current_exception
8   0x004030b8 NONE FUNC VCRUNTIME140.dll                  __current_exception_context
9   0x004030bc NONE FUNC VCRUNTIME140.dll                  _except_handler4_common
1   0x00403138 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __acrt_iob_func
2   0x0040313c NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __p__commode
3   0x00403140 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   _set_fmode
4   0x00403144 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vfprintf
1   0x004030c4 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    free
2   0x004030c8 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _callnewh
3   0x004030cc NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    malloc
4   0x004030d0 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _set_new_mode
1   0x004030e8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _crt_atexit
2   0x004030ec NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_onexit_function
3   0x004030f0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _cexit
4   0x004030f4 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _seh_filter_exe
5   0x004030f8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _set_app_type
6   0x004030fc NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _get_initial_narrow_environment
7   0x00403100 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm
8   0x00403104 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_narrow_environment
9   0x00403108 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll exit
10  0x0040310c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _exit
11  0x00403110 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_onexit_table
12  0x00403114 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll __p___argc
13  0x00403118 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll __p___argv
14  0x0040311c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _c_exit
15  0x00403120 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_thread_local_exe_atexit_callback
16  0x00403124 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _configure_narrow_argv
17  0x00403128 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _controlfp_s
18  0x0040312c NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll terminate
19  0x00403130 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm_e
1   0x004030e0 NONE FUNC api-ms-win-crt-math-l1-1-0.dll    __setusermatherr
1   0x004030d8 NONE FUNC api-ms-win-crt-locale-l1-1-0.dll  _configthreadlocale
