nth vaddr       bind type lib                               name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x180004238 NONE FUNC common.dll                        platLogf
2   0x180004240 NONE FUNC common.dll                        platLog
1   0x180004250 NONE FUNC nre.dll                           ??1Nre@@UEAA@XZ
2   0x180004258 NONE FUNC nre.dll                           ?getInstance@Nre@@SAPEAV1@XZ
1   0x180004108 NONE FUNC MSVCP140.dll                      ?_Xlength_error@std@@YAXPEBD@Z
1   0x180004000 NONE FUNC KERNEL32.dll                      DisableThreadLibraryCalls
2   0x180004008 NONE FUNC KERNEL32.dll                      InitializeSListHead
3   0x180004010 NONE FUNC KERNEL32.dll                      GetSystemTimeAsFileTime
4   0x180004018 NONE FUNC KERNEL32.dll                      GetCurrentThreadId
5   0x180004020 NONE FUNC KERNEL32.dll                      GetCurrentProcessId
6   0x180004028 NONE FUNC KERNEL32.dll                      QueryPerformanceCounter
7   0x180004030 NONE FUNC KERNEL32.dll                      GetCurrentProcess
8   0x180004038 NONE FUNC KERNEL32.dll                      CreateFileA
9   0x180004040 NONE FUNC KERNEL32.dll                      ReadFile
10  0x180004048 NONE FUNC KERNEL32.dll                      WriteFile
11  0x180004050 NONE FUNC KERNEL32.dll                      CloseHandle
12  0x180004058 NONE FUNC KERNEL32.dll                      GetLastError
13  0x180004060 NONE FUNC KERNEL32.dll                      SetNamedPipeHandleState
14  0x180004068 NONE FUNC KERNEL32.dll                      InitializeCriticalSection
15  0x180004070 NONE FUNC KERNEL32.dll                      EnterCriticalSection
16  0x180004078 NONE FUNC KERNEL32.dll                      LeaveCriticalSection
17  0x180004080 NONE FUNC KERNEL32.dll                      DeleteCriticalSection
18  0x180004088 NONE FUNC KERNEL32.dll                      WaitForSingleObject
19  0x180004090 NONE FUNC KERNEL32.dll                      TerminateProcess
20  0x180004098 NONE FUNC KERNEL32.dll                      GetExitCodeProcess
21  0x1800040a0 NONE FUNC KERNEL32.dll                      CreateProcessA
22  0x1800040a8 NONE FUNC KERNEL32.dll                      OpenProcess
23  0x1800040b0 NONE FUNC KERNEL32.dll                      CreateToolhelp32Snapshot
24  0x1800040b8 NONE FUNC KERNEL32.dll                      Process32First
25  0x1800040c0 NONE FUNC KERNEL32.dll                      Process32Next
26  0x1800040c8 NONE FUNC KERNEL32.dll                      RtlCaptureContext
27  0x1800040d0 NONE FUNC KERNEL32.dll                      RtlLookupFunctionEntry
28  0x1800040d8 NONE FUNC KERNEL32.dll                      RtlVirtualUnwind
29  0x1800040e0 NONE FUNC KERNEL32.dll                      IsDebuggerPresent
30  0x1800040e8 NONE FUNC KERNEL32.dll                      UnhandledExceptionFilter
31  0x1800040f0 NONE FUNC KERNEL32.dll                      SetUnhandledExceptionFilter
32  0x1800040f8 NONE FUNC KERNEL32.dll                      IsProcessorFeaturePresent
1   0x180004118 NONE FUNC VCRUNTIME140.dll                  __C_specific_handler
2   0x180004120 NONE FUNC VCRUNTIME140.dll                  memset
3   0x180004128 NONE FUNC VCRUNTIME140.dll                  memmove
4   0x180004130 NONE FUNC VCRUNTIME140.dll                  memcpy
5   0x180004138 NONE FUNC VCRUNTIME140.dll                  __current_exception
6   0x180004140 NONE FUNC VCRUNTIME140.dll                  __current_exception_context
7   0x180004148 NONE FUNC VCRUNTIME140.dll                  _purecall
8   0x180004150 NONE FUNC VCRUNTIME140.dll                  __std_exception_copy
9   0x180004158 NONE FUNC VCRUNTIME140.dll                  __std_exception_destroy
10  0x180004160 NONE FUNC VCRUNTIME140.dll                  _CxxThrowException
11  0x180004168 NONE FUNC VCRUNTIME140.dll                  __std_type_info_destroy_list
1   0x180004178 NONE FUNC VCRUNTIME140_1.dll                __CxxFrameHandler4
1   0x1800041a8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _register_onexit_function
2   0x1800041b0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm_e
3   0x1800041b8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _invalid_parameter_noinfo_noreturn
4   0x1800041c0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm
5   0x1800041c8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _cexit
6   0x1800041d0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll terminate
7   0x1800041d8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _crt_atexit
8   0x1800041e0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _seh_filter_dll
9   0x1800041e8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _configure_narrow_argv
10  0x1800041f0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_narrow_environment
11  0x1800041f8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_onexit_table
12  0x180004200 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _execute_onexit_table
1   0x180004220 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  strncat_s
2   0x180004228 NONE FUNC api-ms-win-crt-string-l1-1-0.dll  _stricmp
1   0x180004210 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsnprintf_s
1   0x180004188 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    _callnewh
2   0x180004190 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    malloc
3   0x180004198 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    free
