nth vaddr       bind type lib                               name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x180019000 NONE FUNC KERNEL32.dll                      RaiseException
2   0x180019008 NONE FUNC KERNEL32.dll                      GetLastError
3   0x180019010 NONE FUNC KERNEL32.dll                      InitializeCriticalSectionEx
4   0x180019018 NONE FUNC KERNEL32.dll                      DeleteCriticalSection
5   0x180019020 NONE FUNC KERNEL32.dll                      WideCharToMultiByte
6   0x180019028 NONE FUNC KERNEL32.dll                      FreeLibrary
7   0x180019030 NONE FUNC KERNEL32.dll                      GetProcAddress
8   0x180019038 NONE FUNC KERNEL32.dll                      LoadLibraryA
9   0x180019040 NONE FUNC KERNEL32.dll                      GetProcessHeap
10  0x180019048 NONE FUNC KERNEL32.dll                      HeapFree
11  0x180019050 NONE FUNC KERNEL32.dll                      HeapAlloc
12  0x180019058 NONE FUNC KERNEL32.dll                      LocalFree
13  0x180019060 NONE FUNC KERNEL32.dll                      MultiByteToWideChar
14  0x180019068 NONE FUNC KERNEL32.dll                      OutputDebugStringW
15  0x180019070 NONE FUNC KERNEL32.dll                      InitializeSListHead
16  0x180019078 NONE FUNC KERNEL32.dll                      DisableThreadLibraryCalls
17  0x180019080 NONE FUNC KERNEL32.dll                      GetSystemTimeAsFileTime
18  0x180019088 NONE FUNC KERNEL32.dll                      GetCurrentThreadId
19  0x180019090 NONE FUNC KERNEL32.dll                      GetCurrentProcessId
20  0x180019098 NONE FUNC KERNEL32.dll                      QueryPerformanceCounter
21  0x1800190a0 NONE FUNC KERNEL32.dll                      IsDebuggerPresent
22  0x1800190a8 NONE FUNC KERNEL32.dll                      IsProcessorFeaturePresent
23  0x1800190b0 NONE FUNC KERNEL32.dll                      TerminateProcess
24  0x1800190b8 NONE FUNC KERNEL32.dll                      GetCurrentProcess
25  0x1800190c0 NONE FUNC KERNEL32.dll                      SetUnhandledExceptionFilter
26  0x1800190c8 NONE FUNC KERNEL32.dll                      UnhandledExceptionFilter
27  0x1800190d0 NONE FUNC KERNEL32.dll                      RtlVirtualUnwind
28  0x1800190d8 NONE FUNC KERNEL32.dll                      RtlLookupFunctionEntry
29  0x1800190e0 NONE FUNC KERNEL32.dll                      RtlCaptureContext
30  0x1800190e8 NONE FUNC KERNEL32.dll                      VirtualQuery
1   0x1800194c8 NONE FUNC ole32.dll                         CLSIDFromString
2   0x1800194d0 NONE FUNC ole32.dll                         CoInitializeEx
3   0x1800194d8 NONE FUNC ole32.dll                         IIDFromString
4   0x1800194e0 NONE FUNC ole32.dll                         CoGetClassObject
5   0x1800194e8 NONE FUNC ole32.dll                         CoTaskMemFree
6   0x1800194f0 NONE FUNC ole32.dll                         CoInitializeSecurity
7   0x1800194f8 NONE FUNC ole32.dll                         StringFromIID
8   0x180019308 NONE FUNC OLEAUT32.dll                      VariantClear
26  0x180019310 NONE FUNC OLEAUT32.dll                      SafeArrayCopy
16  0x180019318 NONE FUNC OLEAUT32.dll                      SafeArrayGetDim
15  0x180019320 NONE FUNC OLEAUT32.dll                      SafeArrayDestroy
6   0x180019328 NONE FUNC OLEAUT32.dll                      SysStringLen
2   0x180019330 NONE FUNC OLEAUT32.dll                      SysReAllocString
9   0x180019338 NONE FUNC OLEAUT32.dll                      VariantCopy
25  0x180019340 NONE FUNC OLEAUT32.dll                      SafeArrayPutElement
