nth vaddr       bind type lib                               name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x180003120 NONE FUNC packet.dll                        PacketRequest
2   0x180003128 NONE FUNC packet.dll                        PacketCloseAdapter
3   0x180003130 NONE FUNC packet.dll                        PacketOpenAdapter
1   0x180003140 NONE FUNC wpcap.dll                         pcap_freecode
2   0x180003148 NONE FUNC wpcap.dll                         pcap_geterr
3   0x180003150 NONE FUNC wpcap.dll                         pcap_sendpacket
4   0x180003158 NONE FUNC wpcap.dll                         pcap_setfilter
5   0x180003160 NONE FUNC wpcap.dll                         pcap_findalldevs
6   0x180003168 NONE FUNC wpcap.dll                         pcap_next_ex
7   0x180003170 NONE FUNC wpcap.dll                         pcap_close
8   0x180003178 NONE FUNC wpcap.dll                         pcap_activate
9   0x180003180 NONE FUNC wpcap.dll                         pcap_set_buffer_size
10  0x180003188 NONE FUNC wpcap.dll                         pcap_set_timeout
11  0x180003190 NONE FUNC wpcap.dll                         pcap_set_promisc
12  0x180003198 NONE FUNC wpcap.dll                         pcap_set_snaplen
13  0x1800031a0 NONE FUNC wpcap.dll                         pcap_create
14  0x1800031a8 NONE FUNC wpcap.dll                         pcap_compile
15  0x1800031b0 NONE FUNC wpcap.dll                         pcap_freealldevs
16  0x1800031b8 NONE FUNC wpcap.dll                         pcap_setmintocopy
17  0x1800031c0 NONE FUNC wpcap.dll                         pcap_breakloop
1   0x180003000 NONE FUNC KERNEL32.dll                      GetSystemTimeAsFileTime
2   0x180003008 NONE FUNC KERNEL32.dll                      IsDebuggerPresent
3   0x180003010 NONE FUNC KERNEL32.dll                      InitializeSListHead
4   0x180003018 NONE FUNC KERNEL32.dll                      DisableThreadLibraryCalls
5   0x180003020 NONE FUNC KERNEL32.dll                      GetCurrentThreadId
6   0x180003028 NONE FUNC KERNEL32.dll                      GetCurrentProcessId
7   0x180003030 NONE FUNC KERNEL32.dll                      QueryPerformanceCounter
8   0x180003038 NONE FUNC KERNEL32.dll                      IsProcessorFeaturePresent
9   0x180003040 NONE FUNC KERNEL32.dll                      TerminateProcess
10  0x180003048 NONE FUNC KERNEL32.dll                      GetCurrentProcess
11  0x180003050 NONE FUNC KERNEL32.dll                      SetUnhandledExceptionFilter
12  0x180003058 NONE FUNC KERNEL32.dll                      UnhandledExceptionFilter
13  0x180003060 NONE FUNC KERNEL32.dll                      RtlVirtualUnwind
14  0x180003068 NONE FUNC KERNEL32.dll                      RtlLookupFunctionEntry
15  0x180003070 NONE FUNC KERNEL32.dll                      RtlCaptureContext
1   0x180003080 NONE FUNC VCRUNTIME140.dll                  __std_type_info_destroy_list
2   0x180003088 NONE FUNC VCRUNTIME140.dll                  memset
3   0x180003090 NONE FUNC VCRUNTIME140.dll                  __C_specific_handler
1   0x180003100 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vsnprintf_s
2   0x180003108 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __stdio_common_vfprintf
3   0x180003110 NONE FUNC api-ms-win-crt-stdio-l1-1-0.dll   __acrt_iob_func
1   0x1800030a0 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    malloc
2   0x1800030a8 NONE FUNC api-ms-win-crt-heap-l1-1-0.dll    free
1   0x1800030b8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm_e
2   0x1800030c0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initterm
3   0x1800030c8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_onexit_table
4   0x1800030d0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _execute_onexit_table
5   0x1800030d8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _configure_narrow_argv
6   0x1800030e0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _seh_filter_dll
7   0x1800030e8 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _cexit
8   0x1800030f0 NONE FUNC api-ms-win-crt-runtime-l1-1-0.dll _initialize_narrow_environment
